Evaluation Results
==================================================
Model: best_model_epoch78.pth
Test File: 2024-07-07_2024-07-07_17-15-00
Evaluation Date: 2025-07-10 16:53:18

System Information:
--------------------
os: Windows
os_version: 10.0.26100
architecture: 64bit
machine: AMD64
processor: Intel64 Family 6 Model 170 Stepping 4, GenuineIntel
gpu: NVIDIA GeForce RTX 4090 Laptop GPU (CUDA 12.6)
gpu_name: NVIDIA GeForce RTX 4090 Laptop GPU
python_version: 3.13.1
cpu_count: 22
cpu_count_logical: 22
memory_total_gb: 31.52
memory_available_gb: 17.39
memory_percent: 44.8
cuda_available: True
cuda_device_count: 1
cuda_version: 12.6
current_device: cuda

Performance Timing:
--------------------
Data loading time: 0.180 seconds
Model loading time: 0.268 seconds
Total inference time: 91.756 seconds
Average inference time per frame: 0.0261 seconds
Min inference time: 0.0169 seconds
Max inference time: 0.1031 seconds
Total evaluation time: 98.396 seconds
Frames processed: 3520

Frame-by-Frame Results:
------------------------------
Frame 190: ADE=2.05, FDE=4.45, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0245s
Frame 191: ADE=1.75, FDE=4.18, Acc_2px=1.000, Acc_5px=1.000, Inference time: 0.0240s
Frame 192: ADE=2.49, FDE=4.93, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0228s
Frame 193: ADE=2.73, FDE=5.14, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0251s
Frame 194: ADE=2.74, FDE=5.22, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0241s
Frame 195: ADE=2.61, FDE=5.14, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0248s
Frame 196: ADE=2.18, FDE=4.78, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0245s
Frame 197: ADE=2.45, FDE=5.04, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0243s
Frame 198: ADE=2.57, FDE=5.09, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0247s
Frame 199: ADE=2.68, FDE=5.22, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0237s
Frame 200: ADE=2.74, FDE=5.34, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0226s
Frame 201: ADE=2.78, FDE=5.42, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0237s
Frame 202: ADE=2.78, FDE=5.17, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0254s
Frame 203: ADE=2.51, FDE=5.11, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0251s
Frame 204: ADE=2.50, FDE=5.11, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0225s
Frame 205: ADE=2.59, FDE=6.05, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0240s
